rol,recurso,ubicacion,rango_horario,accion,label,interarrival_time,timestamp
AnonimoExterno,http,Externa,muy_corta,consulta,saint,0.14,38.706
Interno,smtp,Externa,media,envio,normal,0.011,38.717
Interno,telnet,Externa,media,conexion,normal,0.233,38.95
Interno,smtp,Externa,muy_corta,envio,normal,0.07,39.02
Invitado,ftp,Externa,larga,subida,normal,0.175,39.195
AnonimoExterno,urp_i,Externa,muy_corta,conexion,normal,0.039,39.234
Interno,http,Externa,media,consulta,normal,0.226,39.46
AnonimoExterno,other,Externa,muy_larga,conexion,httptunnel,0.049,39.509
AnonimoExterno,domain_u,Externa,media,lectura,normal,0.001,39.51
Interno,http,Externa,muy_corta,consulta,normal,0.236,39.746
AnonimoExterno,IRC,Externa,corta,conexion,normal,0.01,39.756
AnonimoExterno,time,Externa,muy_corta,conexion,normal,0.038,39.794
Interno,http,Externa,muy_corta,consulta,back,0.3,40.094
AnonimoExterno,ftp_data,Externa,corta,descarga,normal,0.301,40.395
AnonimoExterno,link,Externa,corta,conexion,normal,0.085,40.48
AnonimoExterno,ftp_data,Externa,muy_corta,descarga,rootkit,0.1,40.58
AnonimoExterno,ecr_i,Externa,muy_corta,conexion,normal,0.06,40.639
Interno,smtp,Externa,media,envio,normal,0.035,40.674
AnonimoExterno,smtp,Externa,muy_corta,envio,portsweep,0.04,40.714
AnonimoExterno,IRC,Externa,muy_larga,conexion,normal,0.112,40.825
AnonimoExterno,private,Externa,larga,conexion,normal,0.14,40.965
AnonimoExterno,telnet,Externa,larga,conexion,normal,0.157,41.122
AnonimoExterno,ftp_data,Externa,media,descarga,normal,0.156,41.278
AnonimoExterno,ftp_data,Externa,corta,descarga,normal,0.01,41.287
AnonimoExterno,tftp_u,Externa,muy_corta,conexion,normal,0.068,41.355
AnonimoExterno,ftp_data,Externa,muy_corta,descarga,normal,0.006,41.361
AnonimoExterno,telnet,Externa,larga,conexion,normal,0.08,41.441
Interno,telnet,Externa,muy_larga,conexion,normal,0.058,41.499
AnonimoExterno,telnet,Externa,muy_larga,conexion,normal,0.219,41.718
InternoPrivilegiado,ftp,Externa,media,subida,normal,0.043,41.761
AnonimoExterno,ntp_u,Externa,muy_corta,conexion,normal,0.012,41.774
Interno,smtp,Externa,muy_corta,envio,normal,0.015,41.789
AnonimoExterno,ftp,Externa,muy_larga,subida,normal,0.143,41.932
AnonimoExterno,ftp_data,Externa,muy_corta,descarga,normal,0.096,42.029
AnonimoExterno,X11,Externa,muy_larga,conexion,normal,0.011,42.039
AnonimoExterno,private,Externa,muy_corta,conexion,normal,0.009,42.048
AnonimoExterno,ecr_i,Externa,muy_corta,conexion,normal,0.121,42.169
AnonimoExterno,tftp_u,Externa,muy_corta,conexion,normal,0.008,42.177
InternoPrivilegiado,ftp,Externa,media,subida,normal,0.173,42.349
AnonimoExterno,time,Externa,muy_corta,conexion,neptune,0.122,42.472
AnonimoExterno,finger,Externa,muy_corta,conexion,normal,0.008,42.48
AnonimoExterno,finger,Externa,media,conexion,normal,0.009,42.489
AnonimoExterno,domain_u,Externa,muy_larga,lectura,normal,0.432,42.92
Interno,telnet,Externa,muy_larga,conexion,rootkit,0.047,42.967
Interno,smtp,Externa,corta,envio,normal,0.046,43.014
Interno,telnet,Externa,media,conexion,normal,0.168,43.181
AnonimoExterno,other,Externa,muy_corta,conexion,normal,0.294,43.475
AnonimoExterno,domain_u,Externa,media,lectura,normal,0.427,43.902
Interno,telnet,Externa,larga,conexion,normal,0.14,44.042
AnonimoExterno,IRC,Externa,muy_larga,conexion,normal,0.047,44.089
AnonimoExterno,finger,Externa,corta,conexion,normal,0.009,44.098
AnonimoExterno,private,Externa,muy_corta,conexion,normal,0.15,44.248
Interno,telnet,Externa,larga,conexion,xlock,0.082,44.33
Invitado,ftp,Externa,larga,subida,normal,0.055,44.385
AnonimoExterno,domain_u,Externa,corta,lectura,normal,0.237,44.622
AnonimoExterno,smtp,Externa,muy_larga,envio,normal,0.012,44.634
AnonimoExterno,link,Externa,corta,conexion,normal,0.068,44.702
AnonimoExterno,finger,Externa,muy_corta,conexion,saint,0.001,44.703
Interno,telnet,Externa,media,conexion,normal,0.063,44.766
AnonimoExterno,eco_i,Externa,muy_corta,conexion,normal,0.006,44.772
AnonimoExterno,ftp,Externa,corta,subida,normal,0.013,44.785
Interno,smtp,Externa,media,envio,normal,0.013,44.797
AnonimoExterno,private,Externa,larga,conexion,normal,0.105,44.902
AnonimoExterno,private,Externa,muy_corta,conexion,normal,0.137,45.039
AnonimoExterno,daytime,Externa,muy_corta,conexion,neptune,0.088,45.126
InternoPrivilegiado,ftp,Externa,media,subida,normal,0.327,45.454
AnonimoExterno,ftp_data,Externa,corta,descarga,normal,0.047,45.501
AnonimoExterno,telnet,Externa,larga,conexion,normal,0.034,45.534
AnonimoExterno,domain_u,Externa,media,lectura,normal,0.203,45.737
AnonimoExterno,IRC,Externa,muy_corta,conexion,normal,0.025,45.763
AnonimoExterno,private,Externa,larga,conexion,normal,0.33,46.093
Interno,pop_3,Externa,corta,conexion,normal,0.001,46.094
Interno,telnet,Externa,corta,conexion,normal,0.35,46.445
AnonimoExterno,X11,Externa,muy_larga,conexion,xlock,0.004,46.449
Interno,smtp,Externa,corta,envio,normal,0.222,46.671
AnonimoExterno,ftp_data,Externa,corta,descarga,normal,0.075,46.746
AnonimoExterno,X11,Externa,muy_larga,conexion,xsnoop,0.496,47.241
AnonimoExterno,hostnames,Externa,muy_corta,conexion,neptune,0.008,47.249
AnonimoExterno,bgp,Externa,muy_corta,conexion,neptune,0.081,47.33
AnonimoExterno,finger,Externa,media,conexion,normal,0.348,47.678
Interno,pop_3,Externa,corta,conexion,normal,0.074,47.752
AnonimoExterno,link,Externa,corta,conexion,normal,0.099,47.851
Interno,smtp,Externa,media,envio,normal,0.119,47.97
AnonimoExterno,ftp_data,Externa,corta,descarga,normal,0.061,48.031
Interno,telnet,Externa,media,conexion,normal,0.099,48.13
AnonimoExterno,IRC,Externa,corta,conexion,normal,0.088,48.218
AnonimoExterno,time,Externa,muy_corta,conexion,normal,0.231,48.449
AnonimoExterno,telnet,Externa,muy_larga,conexion,normal,0.005,48.454
Interno,telnet,Externa,muy_larga,conexion,normal,0.033,48.487
AnonimoExterno,link,Externa,corta,conexion,normal,0.3,48.787
Interno,http,Externa,muy_larga,consulta,normal,0.221,49.008
AnonimoExterno,domain,Externa,muy_corta,conexion,neptune,0.061,49.069
AnonimoExterno,private,Externa,larga,conexion,normal,0.097,49.166
AnonimoExterno,IRC,Externa,muy_larga,conexion,normal,0.032,49.198
Interno,pop_3,Externa,corta,conexion,normal,0.021,49.219
AnonimoExterno,smtp,Externa,muy_corta,envio,normal,0.062,49.281
AnonimoExterno,other,Externa,muy_corta,conexion,normal,0.044,49.325
AnonimoExterno,domain_u,Externa,media,lectura,normal,0.088,49.412
AnonimoExterno,X11,Externa,muy_larga,conexion,normal,0.008,49.421
AnonimoExterno,telnet,Externa,muy_corta,conexion,neptune,0.366,49.787
AnonimoExterno,name,Externa,muy_corta,conexion,saint,0.428,50.215
AnonimoExterno,auth,Externa,muy_corta,conexion,normal,0.12,50.335
AnonimoExterno,domain_u,Externa,corta,lectura,normal,0.077,50.412
AnonimoExterno,remote_job,Externa,corta,conexion,normal,0.037,50.449
AnonimoExterno,imap4,Externa,muy_corta,conexion,mscan,0.168,50.617
AnonimoExterno,ftp_data,Externa,muy_corta,descarga,normal,0.115,50.733
AnonimoExterno,http,Externa,muy_corta,consulta,phf,0.018,50.75
AnonimoExterno,X11,Externa,muy_corta,conexion,normal,0.242,50.992
AnonimoExterno,private,Externa,corta,conexion,normal,0.173,51.165
AnonimoExterno,remote_job,Externa,muy_corta,conexion,neptune,0.299,51.464
AnonimoExterno,X11,Externa,muy_corta,conexion,normal,0.129,51.594
AnonimoExterno,IRC,Externa,corta,conexion,normal,0.095,51.689
AnonimoExterno,tftp_u,Externa,muy_corta,conexion,normal,0.054,51.743
AnonimoExterno,tim_i,Externa,muy_corta,conexion,normal,0.27,52.013
AnonimoExterno,private,Externa,larga,conexion,normal,0.201,52.214
AnonimoExterno,ftp,Externa,muy_larga,subida,normal,0.005,52.218
AnonimoExterno,ftp,Externa,muy_larga,subida,normal,0.003,52.221
AnonimoExterno,IRC,Externa,corta,conexion,normal,0.047,52.268
Interno,http,Externa,corta,consulta,normal,0.166,52.435
AnonimoExterno,ftp_data,Externa,muy_corta,descarga,buffer_overflow,0.436,52.871
AnonimoExterno,domain_u,Externa,muy_corta,lectura,normal,0.016,52.887
AnonimoExterno,IRC,Externa,muy_corta,conexion,normal,0.09,52.978
AnonimoExterno,tim_i,Externa,muy_corta,conexion,normal,0.048,53.026
AnonimoExterno,exec,Externa,muy_corta,conexion,neptune,0.35,53.376
AnonimoExterno,private,Externa,corta,conexion,normal,0.185,53.56
AnonimoExterno,urp_i,Externa,muy_corta,conexion,normal,0.182,53.743
AnonimoExterno,ftp_data,Externa,muy_corta,descarga,normal,0.063,53.806
AnonimoExterno,whois,Externa,muy_corta,conexion,neptune,0.054,53.86
AnonimoExterno,IRC,Externa,muy_corta,conexion,normal,0.032,53.891
Interno,telnet,Externa,larga,conexion,normal,0.006,53.897
AnonimoExterno,telnet,Externa,media,conexion,normal,0.2,54.097
AnonimoExterno,domain_u,Externa,media,lectura,normal,0.168,54.265
AnonimoExterno,domain_u,Externa,muy_corta,lectura,normal,0.817,55.082
AnonimoExterno,icmp,Externa,muy_corta,conexion,normal,0.569,55.652
AnonimoExterno,IRC,Externa,muy_corta,conexion,normal,0.081,55.733
Interno,ftp,Externa,media,subida,rootkit,0.147,55.879
AnonimoExterno,telnet,Externa,muy_larga,conexion,normal,0.29,56.169
Interno,telnet,Externa,media,conexion,normal,0.189,56.358
Invitado,ftp,Externa,larga,subida,normal,0.028,56.387
Interno,telnet,Externa,larga,conexion,normal,0.06,56.447
AnonimoExterno,X11,Externa,muy_larga,conexion,normal,0.014,56.46
Interno,ftp,Externa,larga,subida,normal,0.308,56.768
AnonimoExterno,domain_u,Externa,muy_corta,lectura,normal,0.093,56.862
Interno,telnet,Externa,larga,conexion,normal,0.026,56.888
AnonimoExterno,domain_u,Externa,muy_corta,lectura,normal,0.111,56.999
AnonimoExterno,telnet,Externa,muy_larga,conexion,normal,0.096,57.095
AnonimoExterno,ftp,Externa,corta,subida,multihop,0.044,57.14
AnonimoExterno,IRC,Externa,media,conexion,normal,0.012,57.152
Interno,pop_3,Externa,corta,conexion,guess_passwd,0.111,57.263
AnonimoExterno,IRC,Externa,muy_corta,conexion,normal,0.073,57.336
AnonimoExterno,http,Externa,muy_corta,consulta,normal,0.148,57.484
AnonimoExterno,http,Externa,muy_corta,consulta,normal,0.073,57.558
InternoPrivilegiado,ftp,Externa,media,subida,normal,0.191,57.749
AnonimoExterno,ftp_data,Externa,corta,descarga,normal,0.08,57.829
Interno,telnet,Externa,larga,conexion,normal,0.082,57.912
AnonimoExterno,shell,Externa,corta,conexion,satan,0.209,58.121
AnonimoExterno,IRC,Externa,muy_corta,conexion,satan,0.052,58.173
AnonimoExterno,domain_u,Externa,muy_larga,lectura,normal,0.014,58.187
AnonimoExterno,smtp,Externa,muy_larga,envio,normal,0.003,58.19
AnonimoExterno,ftp,Externa,corta,subida,normal,0.141,58.331
Interno,ftp,Externa,larga,subida,normal,0.097,58.427
AnonimoExterno,ftp_data,Externa,corta,descarga,normal,0.122,58.549
AnonimoExterno,ftp_data,Externa,muy_corta,descarga,warezmaster,0.024,58.573
AnonimoExterno,link,Externa,muy_corta,conexion,portsweep,0.015,58.588
AnonimoExterno,IRC,Externa,muy_larga,conexion,normal,0.001,58.589
Interno,ftp,Externa,larga,subida,normal,0.043,58.632
AnonimoExterno,ntp_u,Externa,muy_corta,conexion,normal,0.089,58.722
AnonimoExterno,IRC,Externa,muy_larga,conexion,normal,0.05,58.771
Interno,telnet,Externa,media,conexion,normal,0.058,58.829
Invitado,ftp,Externa,media,subida,normal,0.235,59.063
AnonimoExterno,netbios_ssn,Externa,muy_corta,conexion,neptune,0.043,59.106
AnonimoExterno,other,Externa,muy_corta,conexion,normal,0.072,59.178
AnonimoExterno,domain_u,Externa,larga,lectura,normal,0.153,59.331
AnonimoExterno,private,Externa,larga,conexion,normal,0.051,59.382
Interno,smtp,Externa,larga,envio,normal,0.097,59.479
AnonimoExterno,IRC,Externa,muy_larga,conexion,normal,0.198,59.678
AnonimoExterno,IRC,Externa,larga,conexion,xlock,0.299,59.976
AnonimoExterno,ftp_data,Externa,muy_corta,descarga,normal,0.016,59.992
AnonimoExterno,http,Externa,muy_corta,consulta,normal,0.261,60.253
AnonimoExterno,finger,Externa,muy_corta,conexion,normal,0.068,60.321
AnonimoExterno,time,Externa,muy_corta,conexion,normal,0.03,60.351
AnonimoExterno,IRC,Externa,media,conexion,normal,0.061,60.412
Interno,http,Externa,muy_corta,consulta,normal,0.391,60.804
InternoPrivilegiado,ftp,Externa,media,subida,named,0.068,60.872
AnonimoExterno,finger,Externa,muy_corta,conexion,normal,0.04,60.911
AnonimoExterno,link,Externa,muy_corta,conexion,neptune,0.1,61.012
Interno,http,Externa,media,consulta,normal,0.027,61.039
AnonimoExterno,icmp,Externa,muy_corta,conexion,normal,0.008,61.047
AnonimoExterno,domain_u,Externa,media,lectura,normal,0.014,61.061
AnonimoExterno,domain_u,Externa,corta,lectura,normal,0.014,61.075
AnonimoExterno,finger,Externa,muy_corta,conexion,normal,0.016,61.091
Interno,smtp,Externa,media,envio,normal,0.015,61.106
AnonimoExterno,ftp_data,Externa,muy_corta,descarga,satan,0.102,61.209
AnonimoExterno,private,Externa,corta,conexion,normal,0.02,61.229
Interno,ftp,Externa,larga,subida,normal,0.042,61.271
Interno,telnet,Externa,larga,conexion,buffer_overflow,0.227,61.498
Interno,pop_3,Externa,corta,conexion,normal,0.064,61.562
AnonimoExterno,finger,Externa,media,conexion,normal,0.11,61.672
AnonimoExterno,ftp_data,Externa,muy_corta,descarga,normal,0.019,61.691
AnonimoExterno,domain_u,Externa,media,lectura,normal,0.021,61.713
AnonimoExterno,ftp,Externa,muy_larga,subida,normal,0.004,61.717
Interno,telnet,Externa,muy_larga,conexion,normal,0.019,61.735
Invitado,ftp,Externa,media,subida,normal,0.033,61.768
Invitado,ftp,Externa,media,subida,normal,0.019,61.788
Interno,ftp,Externa,larga,subida,normal,0.009,61.797
AnonimoExterno,finger,Externa,media,conexion,normal,0.013,61.81
AnonimoExterno,gopher,Externa,muy_corta,conexion,portsweep,0.062,61.871
Invitado,ftp,Externa,larga,subida,normal,0.023,61.895
AnonimoExterno,telnet,Externa,media,conexion,normal,0.045,61.94
AnonimoExterno,ntp_u,Externa,muy_corta,conexion,normal,0.07,62.01
Interno,http,Externa,muy_corta,consulta,normal,0.117,62.127
Interno,http,Externa,corta,consulta,normal,0.004,62.131
AnonimoExterno,ecr_i,Externa,muy_corta,conexion,normal,0.161,62.292
AnonimoExterno,auth,Externa,corta,conexion,normal,0.099,62.391
AnonimoExterno,domain_u,Externa,muy_larga,lectura,normal,0.009,62.399
AnonimoExterno,private,Externa,corta,conexion,normal,0.207,62.606
AnonimoExterno,IRC,Externa,muy_larga,conexion,normal,0.254,62.86
AnonimoExterno,ftp_data,Externa,corta,descarga,rootkit,0.006,62.866
AnonimoExterno,finger,Externa,muy_corta,conexion,normal,0.032,62.898
AnonimoExterno,X11,Externa,media,conexion,saint,0.164,63.062
AnonimoExterno,urp_i,Externa,muy_corta,conexion,normal,0.138,63.2
AnonimoExterno,name,Externa,muy_corta,conexion,neptune,0.02,63.221
AnonimoExterno,telnet,Externa,larga,conexion,normal,0.023,63.244
InternoPrivilegiado,ftp,Externa,larga,subida,named,0.046,63.291
AnonimoExterno,private,Externa,muy_corta,conexion,normal,0.066,63.357
AnonimoExterno,remote_job,Externa,corta,conexion,normal,0.096,63.453
AnonimoExterno,domain_u,Externa,larga,lectura,normal,0.046,63.499
AnonimoExterno,finger,Externa,media,conexion,normal,0.062,63.561
AnonimoExterno,telnet,Externa,corta,conexion,mscan,0.138,63.699
AnonimoExterno,telnet,Local,muy_corta,conexion,land,0.004,63.703
AnonimoExterno,X11,Externa,muy_larga,conexion,normal,0.029,63.732
AnonimoExterno,ecr_i,Externa,muy_corta,conexion,pod,0.125,63.857
AnonimoExterno,IRC,Externa,muy_corta,conexion,normal,0.226,64.082
AnonimoExterno,telnet,Externa,media,conexion,normal,0.072,64.154
AnonimoExterno,remote_job,Externa,corta,conexion,normal,0.076,64.23
AnonimoExterno,iso_tsap,Externa,muy_corta,conexion,neptune,0.011,64.241
AnonimoExterno,http,Externa,muy_corta,consulta,normal,0.059,64.301
Interno,pop_3,Externa,muy_corta,conexion,normal,0.076,64.377
AnonimoExterno,courier,Externa,muy_corta,conexion,neptune,0.028,64.404
AnonimoExterno,auth,Externa,corta,conexion,normal,0.031,64.436
AnonimoExterno,ftp_data,Externa,muy_corta,descarga,ftp_write,0.047,64.483
AnonimoExterno,time,Externa,muy_corta,conexion,normal,0.002,64.485
Interno,smtp,Externa,larga,envio,normal,0.039,64.524
Interno,ftp,Externa,larga,subida,normal,0.024,64.548
AnonimoExterno,tim_i,Externa,muy_corta,conexion,pod,0.04,64.587
Interno,ftp,Externa,larga,subida,normal,0.013,64.6
Interno,telnet,Externa,corta,conexion,normal,0.221,64.821
AnonimoExterno,link,Externa,muy_corta,conexion,satan,0.09,64.911
AnonimoExterno,uucp_path,Externa,muy_corta,conexion,neptune,0.114,65.025
Invitado,ftp,Externa,media,subida,normal,0.156,65.181
AnonimoExterno,netbios_ns,Externa,muy_corta,conexion,neptune,0.069,65.25
AnonimoExterno,link,Externa,corta,conexion,normal,0.009,65.259
InternoPrivilegiado,ftp,Externa,media,subida,xterm,0.077,65.336
AnonimoExterno,telnet,Externa,corta,conexion,guess_passwd,0.088,65.424
AnonimoExterno,http,Externa,muy_corta,consulta,normal,0.137,65.561
AnonimoExterno,ecr_i,Externa,muy_corta,conexion,smurf,0.057,65.618
AnonimoExterno,finger,Externa,muy_corta,conexion,neptune,0.014,65.631
AnonimoExterno,telnet,Externa,media,conexion,normal,0.033,65.665
AnonimoExterno,other,Externa,muy_corta,conexion,saint,0.045,65.71
Interno,http,Externa,larga,consulta,normal,0.104,65.814
Interno,telnet,Externa,larga,conexion,loadmodule,0.085,65.898
AnonimoExterno,smtp,Externa,muy_corta,envio,normal,0.044,65.942
AnonimoExterno,echo,Externa,muy_corta,conexion,portsweep,0.431,66.373
AnonimoExterno,login,Externa,muy_corta,conexion,neptune,0.093,66.466
AnonimoExterno,remote_job,Externa,corta,conexion,normal,0.027,66.493
Interno,telnet,Externa,corta,conexion,normal,0.011,66.504
Interno,telnet,Externa,larga,conexion,normal,0.017,66.52
AnonimoExterno,domain_u,Externa,muy_corta,lectura,normal,0.028,66.548
AnonimoExterno,finger,Externa,muy_corta,conexion,normal,0.018,66.566
AnonimoExterno,ftp,Externa,corta,subida,normal,0.021,66.587
Interno,pop_3,Externa,muy_corta,conexion,normal,0.034,66.62
Interno,http,Externa,larga,consulta,normal,0.019,66.639
AnonimoExterno,IRC,Externa,corta,conexion,normal,0.227,66.866
AnonimoExterno,private,Externa,larga,conexion,normal,0.008,66.875
AnonimoExterno,ftp,Externa,corta,subida,normal,0.074,66.949
AnonimoExterno,telnet,Externa,muy_larga,conexion,normal,0.053,67.002
AnonimoExterno,ftp,Externa,corta,subida,normal,0.404,67.406
AnonimoExterno,IRC,Externa,muy_larga,conexion,normal,0.012,67.418
AnonimoExterno,domain_u,Externa,muy_larga,lectura,normal,0.051,67.468
AnonimoExterno,daytime,Externa,muy_corta,conexion,portsweep,0.349,67.817
Interno,http,Externa,larga,consulta,normal,0.201,68.018
AnonimoExterno,domain_u,Externa,muy_corta,lectura,normal,0.17,68.188
AnonimoExterno,other,Externa,muy_corta,conexion,multihop,0.03,68.218
Invitado,ftp,Externa,media,subida,normal,0.019,68.236
Interno,telnet,Externa,larga,conexion,normal,0.11,68.347
AnonimoExterno,sunrpc,Externa,muy_corta,conexion,mscan,0.265,68.612
AnonimoExterno,http,Externa,muy_corta,consulta,normal,0.081,68.693
AnonimoExterno,link,Externa,corta,conexion,normal,0.085,68.778
AnonimoExterno,ftp_data,Externa,muy_corta,descarga,normal,0.033,68.811
AnonimoExterno,ftp,Externa,muy_larga,subida,normal,0.147,68.958
AnonimoExterno,time,Externa,muy_corta,conexion,normal,0.021,68.978
Interno,ftp,Externa,larga,subida,normal,0.039,69.017
Interno,http,Externa,media,consulta,normal,0.055,69.073
AnonimoExterno,ftp_data,Externa,muy_corta,descarga,normal,0.071,69.144
AnonimoExterno,telnet,Externa,larga,conexion,normal,0.028,69.171
AnonimoExterno,nnsp,Externa,muy_corta,conexion,portsweep,0.012,69.184
Interno,http,Externa,muy_corta,consulta,normal,0.094,69.278
AnonimoExterno,ftp,Externa,corta,subida,normal,0.034,69.312
AnonimoExterno,icmp,Externa,muy_corta,conexion,normal,0.087,69.399
AnonimoExterno,finger,Externa,media,conexion,normal,0.017,69.416
AnonimoExterno,eco_i,Externa,muy_corta,conexion,normal,0.066,69.481
AnonimoExterno,IRC,Externa,corta,conexion,normal,0.076,69.557
AnonimoExterno,remote_job,Externa,corta,conexion,normal,0.005,69.563
AnonimoExterno,auth,Externa,muy_corta,conexion,neptune,0.041,69.604
Interno,smtp,Externa,media,envio,normal,0.014,69.618
AnonimoExterno,sunrpc,Externa,muy_corta,conexion,portsweep,0.007,69.625
AnonimoExterno,telnet,Externa,media,conexion,normal,0.46,70.085
AnonimoExterno,ntp_u,Externa,muy_corta,conexion,normal,0.039,70.124
AnonimoExterno,ftp,Externa,muy_larga,subida,normal,0.166,70.29
AnonimoExterno,link,Externa,corta,conexion,normal,0.029,70.319
Interno,telnet,Externa,muy_larga,conexion,buffer_overflow,0.114,70.434
AnonimoExterno,X11,Externa,muy_corta,conexion,normal,0.143,70.576
Interno,ftp,Externa,larga,subida,normal,0.091,70.667
AnonimoExterno,telnet,Externa,muy_larga,conexion,normal,0.064,70.731
Invitado,ftp,Externa,larga,subida,normal,0.053,70.784
Interno,telnet,Externa,media,conexion,normal,0.043,70.827
AnonimoExterno,IRC,Externa,muy_corta,conexion,normal,0.265,71.092
Interno,http,Externa,corta,consulta,normal,0.178,71.27
AnonimoExterno,telnet,Externa,muy_corta,conexion,portsweep,0.335,71.605
AnonimoExterno,telnet,Externa,media,conexion,normal,0.013,71.618
AnonimoExterno,tftp_u,Externa,muy_corta,conexion,normal,0.131,71.749
AnonimoExterno,X11,Externa,larga,conexion,xlock,0.279,72.028
AnonimoExterno,domain_u,Externa,larga,lectura,normal,0.02,72.048
AnonimoExterno,time,Externa,muy_corta,conexion,normal,0.007,72.055
AnonimoExterno,auth,Externa,corta,conexion,normal,0.135,72.19
Interno,http,Externa,media,consulta,normal,0.085,72.275
AnonimoExterno,ftp_data,Externa,media,descarga,normal,0.184,72.46
Interno,http,Externa,muy_larga,consulta,normal,0.015,72.475
AnonimoExterno,telnet,Externa,muy_larga,conexion,normal,0.159,72.634
AnonimoExterno,X11,Externa,muy_corta,conexion,normal,0.023,72.656
Interno,smtp,Externa,corta,envio,normal,0.018,72.674
AnonimoExterno,telnet,Externa,larga,conexion,normal,0.018,72.692
Interno,http,Externa,larga,consulta,normal,0.169,72.86
AnonimoExterno,telnet,Externa,corta,conexion,saint,0.109,72.97
AnonimoExterno,other,Externa,muy_larga,conexion,normal,0.074,73.044
AnonimoExterno,telnet,Externa,corta,conexion,sendmail,0.044,73.088
AnonimoExterno,http_443,Externa,muy_corta,conexion,neptune,0.21,73.298
AnonimoExterno,pm_dump,Externa,muy_corta,conexion,mscan,0.05,73.348
AnonimoExterno,telnet,Externa,larga,conexion,normal,0.17,73.517
AnonimoExterno,auth,Externa,muy_corta,conexion,normal,0.058,73.575
AnonimoExterno,IRC,Externa,media,conexion,normal,0.047,73.623
Interno,telnet,Externa,larga,conexion,normal,0.062,73.685
AnonimoExterno,time,Externa,muy_corta,conexion,normal,0.036,73.721
AnonimoExterno,link,Externa,corta,conexion,normal,0.138,73.858
AnonimoExterno,imap4,Externa,muy_corta,conexion,neptune,0.07,73.928
AnonimoExterno,IRC,Externa,media,conexion,normal,0.026,73.955
AnonimoExterno,smtp,Externa,muy_corta,envio,normal,0.23,74.184
AnonimoExterno,pop_3,Externa,corta,conexion,mscan,0.048,74.233
AnonimoExterno,smtp,Externa,muy_larga,envio,normal,0.078,74.311
AnonimoExterno,ftp_data,Externa,muy_corta,descarga,httptunnel,0.237,74.548
Interno,smtp,Externa,corta,envio,sendmail,0.098,74.646
AnonimoExterno,IRC,Externa,muy_larga,conexion,normal,0.012,74.658
Invitado,ftp,Externa,larga,subida,warezmaster,0.281,74.94
AnonimoExterno,IRC,Externa,muy_larga,conexion,normal,0.099,75.038
Interno,telnet,Externa,corta,conexion,normal,0.041,75.079
AnonimoExterno,other,Externa,muy_corta,conexion,satan,0.015,75.094
Interno,smtp,Externa,larga,envio,normal,0.158,75.252
Interno,http,Externa,media,consulta,normal,0.097,75.349
AnonimoExterno,telnet,Externa,media,conexion,sendmail,0.076,75.425
Interno,http,Externa,media,consulta,normal,0.224,75.649
Interno,telnet,Externa,larga,conexion,normal,0.155,75.805
AnonimoExterno,urp_i,Externa,muy_corta,conexion,normal,0.016,75.821
AnonimoExterno,tim_i,Externa,muy_corta,conexion,normal,0.037,75.859
AnonimoExterno,icmp,Externa,muy_corta,conexion,normal,0.029,75.887
AnonimoExterno,ldap,Externa,muy_corta,conexion,saint,0.136,76.023
AnonimoExterno,IRC,Externa,muy_larga,conexion,normal,0.003,76.027
Invitado,ftp,Externa,larga,subida,normal,0.084,76.111
AnonimoExterno,ecr_i,Externa,muy_corta,conexion,normal,0.144,76.255
AnonimoExterno,other,Externa,muy_corta,conexion,named,0.209,76.464
AnonimoExterno,ftp_data,Externa,corta,descarga,warezmaster,0.042,76.506
AnonimoExterno,X11,Externa,muy_corta,conexion,normal,0.172,76.678
AnonimoExterno,domain_u,Externa,larga,lectura,normal,0.012,76.69
Interno,http,Externa,muy_corta,consulta,normal,0.187,76.878
AnonimoExterno,telnet,Externa,media,conexion,normal,0.014,76.891
AnonimoExterno,IRC,Externa,muy_corta,conexion,normal,0.051,76.942
AnonimoExterno,IRC,Externa,muy_larga,conexion,normal,0.16,77.101
AnonimoExterno,smtp,Externa,muy_corta,envio,neptune,0.016,77.118
AnonimoExterno,domain_u,Externa,larga,lectura,normal,0.026,77.144
AnonimoExterno,finger,Externa,media,conexion,normal,0.128,77.272
AnonimoExterno,icmp,Externa,muy_corta,conexion,normal,0.127,77.399
AnonimoExterno,domain_u,Externa,media,lectura,normal,0.102,77.502
AnonimoExterno,telnet,Externa,media,conexion,normal,0.118,77.62
Interno,telnet,Externa,media,conexion,normal,0.078,77.698
Interno,smtp,Externa,media,envio,normal,0.029,77.727
AnonimoExterno,remote_job,Externa,corta,conexion,normal,0.042,77.77
AnonimoExterno,http,Externa,muy_corta,consulta,normal,0.02,77.79
AnonimoExterno,ntp_u,Externa,muy_corta,conexion,normal,0.239,78.029
AnonimoExterno,pop_3,Externa,muy_corta,conexion,mscan,0.088,78.116
AnonimoExterno,remote_job,Externa,muy_corta,conexion,satan,0.051,78.168
AnonimoExterno,other,Externa,muy_larga,conexion,normal,0.062,78.23
AnonimoExterno,icmp,Externa,muy_corta,conexion,normal,0.294,78.524
AnonimoExterno,X11,Externa,muy_corta,conexion,normal,0.017,78.54
AnonimoExterno,ftp_data,Externa,muy_corta,descarga,normal,0.088,78.629
Invitado,telnet,Externa,media,conexion,multihop,0.07,78.699
AnonimoExterno,private,Externa,muy_corta,conexion,saint,0.095,78.794
AnonimoExterno,sql_net,Externa,muy_corta,conexion,satan,0.002,78.796
